;Paper;Name;Latitude;Longitude;Mean basin elevation (m);Basin Relief (m);Basin Area (km2);Mean Latutide (dec. Deg.);Mean Longitude (dec. Deg);Effective basin elevation (m);Mean Basin slope;Rock type;Mean annual precipitation (mm/yr);Mean annual Temperature (C);% Vegetation;Seismicity;Seismic regime;Climate zone main;Cronus erosion rate (m/My);Cronus erosion rate error (m/My)
635;Morel et al., 2003, Germany;Wut6;47,867;8,281;907;294;27,7;47,903;8,278;909.0;5,1;Mixed;1221.0;6.0;72.0;0,753339;No;Temperate;40,87;4,45
636;Morel et al., 2003, Germany;Wut7;47,843;8,321;960;804;235,66;47,897;8,19;964.0;9,9;Mixed;1279.0;6.0;71.0;0,753339;No;Temperate;49,73;5,93
637;Morel et al., 2003, Germany;Wut8;47,859;8,276;829;111;1,57;47,858;8,263;831.0;4;Mixed;1170.0;7.0;79.0;0,753339;No;Temperate;16,19;1,55
638;Morel et al., 2003, Germany;Wut9;47,88;8,163;1030;458;16,09;47,863;8,12;1033.0;10,5;Igneous;1354.0;6.0;11.0;0,753339;No;Temperate;76,36;10,68
639;Morel et al., 2003, Germany;Wut10;47,939;8,201;994;306;19,75;47,965;8,194;996.0;11,6;Igneous;1300.0;6.0;69.0;0,753339;No;Temperate;43,75;5,71
640;Morel et al., 2003, Germany;Wut11;47,874;8,259;904;147;0,59;47,875;8,267;902.0;8,2;Igneous;1245.0;6.0;80.0;0,753339;No;Temperate;35,44;3,73
641;Morel et al., 2003, Germany;Wut12;47,869;8,262;986;720;126,98;47,921;8,159;991.0;11,3;Igneous;1299.0;6.0;70.0;0,753339;No;Temperate;52,61;6,41
642;Morel et al., 2003, Germany;Don1;47,983;8,242;1042;221;8,65;47,981;8,223;1044.0;10;Igneous;1344.0;6.0;79.0;0,753339;No;Temperate;34,12;3,98
643;Morel et al., 2003, Germany;Don2;47,961;8,253;1066;166;2,74;47,961;8,242;1068.0;8,7;Igneous;1347.0;6.0;80.0;0,753339;No;Temperate;33,62;4,16
644;Morel et al., 2003, Germany;Don3;47,948;8,367;928;188;5,12;47,952;8,345;930.0;3,3;Sedimentary;1210.0;6.0;80.0;0,869161;No;Temperate;11,21;1,12
645;Morel et al., 2003, Germany;Don4;47,967;8,367;920;97;1,71;47,968;8,354;922.0;3,4;Sedimentary;1225.0;6.0;80.0;0,869161;No;Temperate;11,66;1,14
647;Nichols et al., 2002, Mojave Desert;GMV-1;34,026;-115,138;555;247;1,78;34,02;-115,138;555.0;9,1;Igneous;117.0;21.0;0.0;0,786818;No;Arid;2,93;-16
648;Nichols et al., 2002, Mojave Desert;GMV-2;34,007;-115,133;776;379;0,59;34,001;-115,133;779.0;22,5;Igneous;144.0;20.0;5.0;0,786818;No;Arid;3,89;25
649;Nichols et al., 2002, Mojave Desert;GMV-3;34,012;-115,134;653;340;1,33;34,008;-115,134;654.0;15,2;Igneous;136.0;21.0;0.0;0,786818;No;Arid;3,08;2
650;Nichols et al., 2002, Mojave Desert;IMV-1;34,117;-115,193;700;393;0,57;34,118;-115,193;704.0;22,6;Igneous;131.0;20.0;0.0;0,786818;No;Arid;3,27;15
651;Nichols et al., 2002, Mojave Desert;IMV-2;34,116;-115,189;703;450;1,66;34,122;-115,189;708.0;23,4;Igneous;135.0;20.0;0.0;0,786818;No;Arid;2,87;-2
652;Nichols et al., 2002, Mojave Desert;IMV-3;34,109;-115,195;695;420;1,29;34,112;-115,195;698.0;22,6;Igneous;127.0;21.0;0.0;0,786818;No;Arid;3,18;12
654;Nichols et al., 2005a, Mojave Desert;CMV-123a;34,613;-114,616;710;77;0,04;34,614;-114,616;710.0;10,9;Igneous;172.0;19.0;5.0;1,353543;No;Arid;;
655;Nichols et al., 2005a, Mojave Desert;CMV-456b;34,602;-114,601;754;208;0,39;34,601;-114,601;755.0;12,5;Igneous;179.0;19.0;5.0;1,353543;No;Arid;;
656;Nichols et al., 2005a, Mojave Desert;SRV-123b;34,592;-114,642;602;57;0,1;34,591;-114,642;602.0;12,7;Igneous;154.0;20.0;5.0;1,353543;No;Arid;;
658;Nichols et al., 2005b, Panama;CCC;9,36;-79,325;511;529;61,29;9,374;79,288;515.0;10,2;Igneous;3134.0;23.0;79.0;1,379859;No;Tropical;154,78;12,75
659;Nichols et al., 2005b, Panama;CChC;9,267;-79,506;462;892;406,6;9,335;79,378;471.0;13,4;Igneous;3067.0;24.0;79.0;1,39549;No;Tropical;206,85;18,64
660;Nichols et al., 2005b, Panama;CHAG-5;9,357;-79,326;434;218;0,42;9,349;79,325;435.0;11,6;Igneous;2969.0;24.0;80.0;1,379859;No;Tropical;156,59;12,41
661;Nichols et al., 2005b, Panama;CHAG-7;9,331;-79,352;452;298;1,02;9,325;79,348;460.0;15,9;Igneous;2913.0;24.0;80.0;1,39549;No;Tropical;97,66;11,52
662;Nichols et al., 2005b, Panama;CHAG-9;9,363;-79,272;622;414;4,09;9,35;79,266;624.0;11,6;Igneous;3209.0;23.0;80.0;1,561772;No;Tropical;192,82;16,19
663;Nichols et al., 2005b, Panama;CHAG-12;9,368;-79,272;535;163;1,28;9,376;79,274;535.0;10,6;Igneous;3222.0;23.0;80.0;1,561772;No;Tropical;122,94;10,32
664;Nichols et al., 2005b, Panama;CHAG-14;9,371;-79,261;548;218;5,26;9,382;79,259;548.0;8,1;Igneous;3186.0;23.0;77.0;1,561772;No;Tropical;88,27;7,18
665;Nichols et al., 2005b, Panama;CHAG-15;9,369;-79,263;550;238;3,37;9,362;79,255;554.0;9;Igneous;3136.0;23.0;80.0;1,561772;No;Tropical;160,45;13,34
666;Nichols et al., 2005b, Panama;CHAG-17;9,296;-79,411;454;670;176,02;9,368;79,334;459.0;11,9;Igneous;3085.0;24.0;79.0;1,39549;No;Tropical;140,51;12,5
667;Nichols et al., 2005b, Panama;CHAG-19;9,269;-79,505;46;892;364,19;9,336;79,366;475.0;13,2;Igneous;3074.0;24.0;79.0;1,39549;No;Tropical;163,72;16,79
668;Nichols et al., 2005b, Panama;Chico;9,271;-79,507;428;655;40,91;9,334;79,48;433.0;14,6;Igneous;3015.0;24.0;79.0;1,39549;No;Tropical;186,75;20,53
669;Nichols et al., 2005b, Panama;CHM-1;9,36;-79,321;534;507;34,9;9,361;79,28;539.0;10,5;Igneous;3139.0;23.0;79.0;1,379859;No;Tropical;125,6;9,69
670;Nichols et al., 2005b, Panama;CHT-2;9,357;-79,316;460;168;0,32;9,353;79,315;457.0;11,2;Igneous;3078.0;24.0;80.0;1,379859;No;Tropical;217,58;20,25
671;Nichols et al., 2005b, Panama;CLA;9,244;-79,531;452;911;461,16;9,327;79,39;460.0;13,3;Igneous;3044.0;24.0;79.0;1,39549;No;Tropical;177,69;15,35
672;Nichols et al., 2005b, Panama;CPC;9,294;-79,416;487;830;269,49;9,34;79,34;495.0;12,6;Igneous;3104.0;24.0;79.0;1,39549;No;Tropical;167,13;14,35
673;Nichols et al., 2005b, Panama;CTOM;9,365;-79,323;486;400;24,11;9,393;79,295;487.0;9,8;Igneous;3136.0;23.0;80.0;1,379859;No;Tropical;150,65;12,69
674;Nichols et al., 2005b, Panama;PIED;9,293;-79,411;550;823;92,88;9,286;79,352;561.0;14;Igneous;3141.0;23.0;80.0;1,411121;No;Tropical;175,07;14,23
676;Nichols et al., 2007, Mojave Desert;ERV-UB;35,41;-116,47;1103;240;0,68;35,418;-116,47;1103.0;13,1;Sedimentary;139.0;16.0;5.0;2,974447;Yes;Arid;;
678;Norton et al., 2008, Switzerland;Trub1;46,995;7,892;1181;327;1,71;47;7,895;1183.0;21,6;Sedimentary;1322.0;6.0;80.0;0,855054;No;Polar;347,02;44,26
679;Norton et al., 2008, Switzerland;Trub2;46,99;7,883;1185;359;1,57;46,995;7,878;1187.0;22,5;Sedimentary;1381.0;5.0;80.0;0,855054;No;Polar;441,74;58,86
680;Norton et al., 2008, Switzerland;Trub3;46,968;7,893;1104;479;9,71;46,987;7,886;1108.0;18,7;Sedimentary;1320.0;5.0;80.0;0,855054;No;Polar;322,51;42,23
681;Norton et al., 2008, Switzerland;Trub4;46,979;7,934;1155;422;5,05;46,991;7,941;1158.0;19,4;Sedimentary;1379.0;5.0;80.0;0,855054;No;Polar;395,54;53,43
682;Norton et al., 2008, Switzerland;Trub5;46,999;7,918;1175;318;1,98;47,004;7,919;1176.0;19,5;Sedimentary;1396.0;5.0;80.0;0,855054;No;Polar;312,17;34,02
683;Norton et al., 2008, Switzerland;Trub6;46,948;7,888;1072;581;37,9;46,977;7,908;1076.0;17,3;Sedimentary;1310.0;6.0;79.0;0,855054;No;Polar;600,73;219,09
684;Norton et al., 2008, Switzerland;Fon1;47,03;8,061;936;731;62,38;47,007;8;943.0;17,3;Sedimentary;1265.0;6.0;79.0;0,855054;No;Polar;635,48;161,78
685;Norton et al., 2008, Switzerland;Fon2;47,037;8,033;902;380;4,84;47,043;8,011;904.0;15,9;Sedimentary;1247.0;6.0;79.0;0,855054;No;Polar;520,88;73,45
686;Norton et al., 2008, Switzerland;Fon3;47,029;7,982;1002;542;2,87;47,023;7,962;1005.0;16,2;Sedimentary;1294.0;6.0;80.0;0,855054;No;Polar;437,82;55,58
687;Norton et al., 2008, Switzerland;Fon4;46,972;7,982;1053;395;4,82;46,971;7,963;1056.0;16,2;Sedimentary;1314.0;6.0;79.0;0,855054;No;Polar;320,19;42,72
688;Norton et al., 2008, Switzerland;Fon5;46,97;7,967;1084;359;2,51;46,973;7,955;1086.0;18,2;Sedimentary;1345.0;6.0;78.0;0,855054;No;Polar;369,89;138,82
689;Norton et al., 2008, Switzerland;Fon6;46,986;7,972;1091;360;2,4;46,987;7,96;1094.0;18,4;Sedimentary;1330.0;6.0;80.0;0,855054;No;Polar;375,3;49,33
690;Norton et al., 2008, Switzerland;Fon7;46,982;8,002;1044;555;12,03;46,993;7,979;1048.0;19;Sedimentary;1315.0;6.0;80.0;0,855054;No;Polar;461,37;61,71
692;Norton et al., 2010, Switzerland;Mil;46,522;8,323;2330;1345;4,23;46,535;8,304;2348.0;24,4;Metamorphic;1856.0;-1.0;11.0;0,982944;No;Polar;515,96;68,18
693;Norton et al., 2010, Switzerland;Ober;46,512;8,306;2275;1380;3,7;46,526;8,291;2299.0;26,3;Metamorphic;1818.0;0.0;16.0;0,982944;No;Polar;380,49;57,11
694;Norton et al., 2010, Switzerland;Nider1;46,525;8,269;2700;329;0,83;46,529;8,265;2698.0;19,8;Metamorphic;2089.0;-3.0;5.0;0,982944;No;Polar;196,01;24,65
695;Norton et al., 2010, Switzerland;Nider2;46,524;8,272;2650;518;1,25;46,528;8,267;2649.0;20,5;Metamorphic;2035.0;-3.0;5.0;0,982944;No;Polar;174,69;18,18
696;Norton et al., 2010, Switzerland;Nider3;46,501;8,292;2422;1063;2,91;46,523;8,274;2435.0;25,7;Metamorphic;1884.0;-1.0;5.0;0,982944;No;Polar;260,22;35,61
697;Norton et al., 2010, Switzerland;Ges;46,499;8,281;2184;1694;5,99;46,512;8,264;2234.0;27,5;Metamorphic;1809.0;0.0;17.0;0,982944;No;Polar;425,92;54,16
698;Norton et al., 2010, Switzerland;Mins;46,491;8,261;2483;2029;14,58;46,51;8,228;2532.0;29,1;Metamorphic;1955.0;-1.0;6.0;0,982944;No;Polar;3236,7;924,35
699;Norton et al., 2010, Switzerland;Rec;46,468;8,239;2446;2195;9,28;46,49;8,211;2507.0;29,1;Metamorphic;1906.0;0.0;19.0;0,982944;No;Polar;1491,82;408,85
700;Norton et al., 2010, Switzerland;Hil;46,448;8,208;2231;1102;1,65;46,461;8,187;2247.0;28,2;Metamorphic;1843.0;-1.0;16.0;0,982944;No;Polar;346,3;43,99
701;Norton et al., 2010, Switzerland;Hil2;46,463;8,183;2586;310;0,24;46,464;8,177;2584.0;23,5;Metamorphic;2041.0;-3.0;5.0;0,982944;No;Polar;174,89;21,38
702;Norton et al., 2010, Switzerland;Wil;46,442;8,197;2372;1740;4,15;46,458;8,173;2405.0;23,4;Metamorphic;1885.0;-1.0;19.0;0,982944;No;Polar;93,65;9,51
703;Norton et al., 2010, Switzerland;Wil2;46,459;8,173;2641;407;0,46;46,465;8,17;2643.0;20,6;Metamorphic;2105.0;-3.0;5.0;0,982944;No;Polar;108,43;11,7
704;Norton et al., 2010, Switzerland;Ritz;46,452;8,226;2137;1429;4,28;46,437;8,24;2178.0;28,2;Metamorphic;1884.0;-1.0;38.0;0,982944;No;Polar;296,95;48,43
705;Norton et al., 2010, Switzerland;Spi;46,446;8,211;2231;1295;2,82;46,427;8,228;2256.0;23,5;Metamorphic;1850.0;-1.0;36.0;0,982944;No;Polar;663,32;118,79
706;Norton et al., 2010, Switzerland;Chr;46,436;8,204;2031;1286;2,68;46,425;8,214;2069.0;27,9;Metamorphic;1843.0;-1.0;39.0;0,982944;No;Polar;893,78;206,64
707;Norton et al., 2010, Switzerland;Bet;46,432;8,189;2119;1019;2,33;46,417;8,205;2141.0;25;Metamorphic;1839.0;-1.0;32.0;0,982944;No;Polar;1593,88;373,56
708;Norton et al., 2010, Switzerland;L÷³;46,419;8,172;1906;1027;1,43;46,409;8,183;1931.0;27,5;Metamorphic;1731.0;1.0;47.0;0,982944;No;Polar;957,58;252,42
710;Ouimet et al., 2009, E Tibet;wbo302;30,27;101,53;4073;462;35,86;30,254;101,572;4075.0;6,1;Igneous;879.0;1.0;8.0;1,350329;No;Cold;28,64;2,4
711;Ouimet et al., 2009, E Tibet;wbo305;29,89;101,54;4295;393;21,24;29,901;101,507;4296.0;4,3;Igneous;921.0;0.0;20.0;0,982952;No;Cold;18,79;1,65
712;Ouimet et al., 2009, E Tibet;wbo316;29,43;101,23;4378;2475;36,27;29,474;101,239;4423.0;27,1;Igneous;892.0;0.0;37.0;4,977656;Yes;Cold;186,83;17,12
713;Ouimet et al., 2009, E Tibet;wbo424;31,3;103,53;3004;2095;15,98;31,315;103,543;3046.0;34,8;Igneous;1014.0;6.0;32.0;1,347979;No;Temperate;344,64;31,81
714;Ouimet et al., 2009, E Tibet;wbo439;29,41;101,23;4489;2610;94,42;29,318;101,225;4526.0;26,3;Igneous;900.0;0.0;32.0;4,977656;Yes;Cold;355,68;32,6
715;Ouimet et al., 2009, E Tibet;wbo444;29,37;102,24;1948;1877;22,92;29,377;102,281;1979.0;30,2;Igneous;946.0;13.0;57.0;2,228133;Yes;Cold;291,35;39,98
716;Ouimet et al., 2009, E Tibet;wbo445;29,5;102,18;1952;1562;5,08;29,534;102,188;1987.0;32,1;Igneous;911.0;13.0;28.0;2,228133;Yes;Cold;640,53;72,24
717;Ouimet et al., 2009, E Tibet;wbo448;29,91;102,19;3316;4356;94,87;29,926;102,126;3490.0;33;Igneous;976.0;4.0;46.0;1,659404;No;Cold;420,06;36,15
718;Ouimet et al., 2009, E Tibet;wbo450;30,23;102,18;3005;3222;39,49;30,226;102,15;3153.0;34,9;Igneous;909.0;6.0;73.0;1,686688;No;Temperate;277,61;24,6
719;Ouimet et al., 2009, E Tibet;wbo501;31,56;103,49;2832;2647;13,04;31,519;103,476;2902.0;32,1;Igneous;949.0;7.0;73.0;1,070308;No;Temperate;237,64;20,52
720;Ouimet et al., 2009, E Tibet;wbo502;31,76;102,74;4145;1837;24,71;31,772;102,772;4168.0;26;Igneous;938.0;0.0;37.0;1,191498;No;Temperate;199,31;17,03
721;Ouimet et al., 2009, E Tibet;wbo505;32,21;101,61;3577;1770;15,14;32,179;101,601;3621.0;28,1;Igneous;740.0;3.0;66.0;1,750821;No;Cold;163,7;15,61
722;Ouimet et al., 2009, E Tibet;wbo506;31,89;100,75;4234;1546;40,65;31,944;100,782;4252.0;25,6;Igneous;715.0;0.0;30.0;1,696425;No;Cold;151,46;12,75
723;Ouimet et al., 2009, E Tibet;wbo508;32,2;101,02;4063;1196;84,18;32,23;101,092;4070.0;18,6;Igneous;723.0;0.0;49.0;1,626841;No;Cold;39,19;3,27
724;Ouimet et al., 2009, E Tibet;wbo510;31,72;100,93;3933;863;168,61;31,658;100,887;3939.0;13,1;Igneous;705.0;2.0;18.0;1,696425;No;Cold;34,09;3
725;Ouimet et al., 2009, E Tibet;wbo511;31,77;100,99;4165;1285;11,33;31,805;101,013;4182.0;25,3;Igneous;735.0;0.0;42.0;1,696425;No;Cold;84,45;7,05
726;Ouimet et al., 2009, E Tibet;wbo512;31,79;101,1;3663;1295;17,48;31,786;101,071;3687.0;29,7;Igneous;696.0;4.0;61.0;1,696425;No;Cold;84,85;7,03
727;Ouimet et al., 2009, E Tibet;wbo513;31,77;101,37;4210;1695;15,1;31,812;101,382;4233.0;27,9;Igneous;772.0;0.0;52.0;1,795395;No;Cold;153,75;13,4
728;Ouimet et al., 2009, E Tibet;wbo514;31,75;102;3672;2202;23,4;31,719;101,958;3713.0;29,5;Igneous;789.0;3.0;75.0;1,892853;No;Temperate;151,82;12,64
729;Ouimet et al., 2009, E Tibet;wbo515;31,42;102,05;3233;1967;14,14;31,442;102,013;3277.0;27,8;Igneous;761.0;6.0;77.0;1,892853;No;Temperate;149,78;12,33
730;Ouimet et al., 2009, E Tibet;wbo518;30,95;101,72;3634;2255;22,21;30,921;101,695;3677.0;33,3;Igneous;771.0;4.0;78.0;1,663084;No;Temperate;242,91;21,42
731;Ouimet et al., 2009, E Tibet;wbo519;31,02;102,28;3365;2047;9,41;30,994;102,267;3396.0;31,7;Igneous;842.0;5.0;75.0;1,13189;No;Temperate;151,44;13,13
732;Ouimet et al., 2009, E Tibet;wbo521;30,54;101,62;4197;1533;27,51;30,574;101,584;4214.0;23,1;Igneous;874.0;0.0;35.0;1,350329;No;Cold;278,65;27,45
733;Ouimet et al., 2009, E Tibet;wbo522;30,68;101,75;4026;2071;11,49;30,687;101,71;4070.0;34,9;Igneous;871.0;1.0;66.0;1,350329;No;Cold;475,71;49,47
734;Ouimet et al., 2009, E Tibet;wbo523;30,73;102;3521;3187;50,46;30,69;101,969;3621.0;33,8;Igneous;834.0;4.0;71.0;1,686688;No;Temperate;1078,52;109,64
735;Ouimet et al., 2009, E Tibet;wbo524;30,38;102,13;3043;3130;33,39;30,376;102,089;3127.0;34,2;Igneous;845.0;6.0;75.0;1,686688;No;Temperate;507,65;43,74
736;Ouimet et al., 2009, E Tibet;wbo529;30,1;102,06;3148;869;1,3;30,102;102,073;3159.0;19,5;Igneous;865.0;6.0;75.0;1,659404;No;Cold;406,5;40,75
737;Ouimet et al., 2009, E Tibet;wbo530;30,08;102,07;3798;3701;14,41;30,047;102,055;3941.0;35,5;Igneous;985.0;2.0;52.0;1,659404;No;Cold;464,82;43,23
738;Ouimet et al., 2009, E Tibet;wbo536;30,04;100,98;3803;1946;78,85;30,05;100,917;3835.0;28,5;Igneous;749.0;4.0;74.0;2,819404;Yes;Cold;92,95;8,33
739;Ouimet et al., 2009, E Tibet;wbo538;30,04;101,22;4045;1605;109,57;30,015;101,258;4069.0;25,8;Igneous;827.0;2.0;60.0;2,819404;Yes;Cold;87,46;7,43
740;Ouimet et al., 2009, E Tibet;wbo544;29,98;101,58;3955;1199;63,55;30,017;101,634;3970.0;21,7;Igneous;900.0;2.0;31.0;0,982952;No;Cold;42,28;3,59
741;Ouimet et al., 2009, E Tibet;wbo545;30,33;101,52;3918;470;16,04;30,336;101,489;3920.0;15,6;Igneous;836.0;3.0;9.0;1,350329;No;Cold;20,94;1,83
742;Ouimet et al., 2009, E Tibet;wbo550;29,54;102,14;2612;2927;29,05;29,55;102,113;2711.0;37,1;Igneous;959.0;9.0;78.0;2,228133;Yes;Cold;1289,59;182,82
743;Ouimet et al., 2009, E Tibet;wbo551;29,34;102,25;2455;3633;76,89;29,305;102,179;2611.0;31,7;Igneous;986.0;10.0;70.0;2,228133;Yes;Cold;178,89;20,94
744;Ouimet et al., 2009, E Tibet;wbo604;32,02;103,28;3275;2760;112,71;31,978;103,227;3345.0;31,5;Igneous;867.0;4.0;66.0;1,109303;No;Temperate;274,54;24,42
745;Ouimet et al., 2009, E Tibet;wbo605;32,13;102,89;3572;1493;11,2;32,156;102,879;3592.0;29,5;Metamorphic;837.0;3.0;68.0;1,305619;No;Temperate;274,47;23,38
746;Ouimet et al., 2009, E Tibet;wbo607;32,27;102,49;4003;828;16,54;32,283;102,53;4010.0;21,1;Metamorphic;837.0;1.0;30.0;1,861717;No;Cold;186,3;15,93
747;Ouimet et al., 2009, E Tibet;wbo609;32,42;100,81;4193;1146;41,7;32,411;100,749;4205.0;23,9;Metamorphic;696.0;-1.0;48.0;1,626841;No;Cold;151,37;12,68
748;Ouimet et al., 2009, E Tibet;wbo610;32,53;100,67;4141;1014;46,55;32,581;100,684;4148.0;22,9;Metamorphic;683.0;-1.0;28.0;1,180432;No;Cold;99,83;8,75
749;Ouimet et al., 2009, E Tibet;wbo612;32,22;100,39;4239;767;38,52;32,28;100,434;4245.0;16,7;Metamorphic;677.0;-1.0;32.0;1,180432;No;Cold;53,7;4,86
750;Ouimet et al., 2009, E Tibet;wbo613;32,61;101,19;4155;1506;36,04;32,672;101,213;4173.0;26,4;Metamorphic;725.0;-1.0;11.0;0,825075;No;Cold;104,78;9,12
751;Ouimet et al., 2009, E Tibet;wbo614;32,58;101,08;3951;1223;15,75;32,585;101,051;3966.0;24;Metamorphic;708.0;0.0;47.0;0,825075;No;Cold;117,25;10,14
752;Ouimet et al., 2009, E Tibet;wbo616;32,43;101,05;3775;1071;100,84;32,415;101,008;3784.0;18,9;Metamorphic;696.0;2.0;51.0;1,626841;No;Cold;147,62;13,17
753;Ouimet et al., 2009, E Tibet;wbo617;32,34;101,22;3939;947;29,08;32,378;101,249;3945.0;20,1;Metamorphic;725.0;1.0;27.0;1,626841;No;Cold;66;5,62
754;Ouimet et al., 2009, E Tibet;wbo618;31,45;100,72;3967;1418;44,48;31,431;100,758;3983.0;25,3;Metamorphic;697.0;2.0;55.0;1,140285;No;Cold;100,27;8,78
755;Ouimet et al., 2009, E Tibet;wbo619;31,03;101,07;3973;1811;58,45;31,074;101,136;4004.0;24,3;Metamorphic;741.0;2.0;22.0;1,70926;No;Cold;207;18,1
756;Ouimet et al., 2009, E Tibet;wbo621;30,32;101,38;4258;601;72,97;30,304;101,349;4260.0;7,4;Metamorphic;857.0;1.0;15.0;1,350329;No;Cold;43,18;3,8
757;Ouimet et al., 2009, E Tibet;wbo622;30,31;101,42;4205;378;9,48;30,305;101,41;4106.0;10;Metamorphic;861.0;1.0;5.0;1,350329;No;Cold;58,21;4,87
758;Ouimet et al., 2009, E Tibet;wbo623;30,14;101,51;3795;691;12,85;30,149;101,529;3800.0;21,4;Metamorphic;836.0;3.0;19.0;0,982952;No;Cold;41,31;3,44
759;Ouimet et al., 2009, E Tibet;wbo624;29,77;101,1;3825;2296;53,74;29,753;101,159;3859.0;28;Metamorphic;804.0;4.0;63.0;2,819404;Yes;Cold;120,82;10,34
760;Ouimet et al., 2009, E Tibet;wbo625;30,05;101,31;4267;845;5,46;30,033;101,311;4274.0;22,1;Metamorphic;867.0;1.0;33.0;2,819404;Yes;Cold;108,79;9,59
761;Ouimet et al., 2009, E Tibet;wbo626;30,06;101,36;4353;233;5,07;30,074;101,36;4353.0;9,9;Metamorphic;885.0;0.0;17.0;0,982952;No;Cold;45,51;3,85
762;Ouimet et al., 2009, E Tibet;wbo637;28,77;102,25;2899;1438;13,56;28,811;102,245;2927.0;22,7;Igneous;1110.0;7.0;51.0;1,391005;No;Temperate;1773,83;217,18
763;Ouimet et al., 2009, E Tibet;wbo638;28,38;101,88;2877;2306;8,23;28,363;101,909;2926.0;32;Igneous;1018.0;10.0;38.0;2,544292;Yes;Temperate;381,89;32,98
764;Ouimet et al., 2009, E Tibet;wbo641;28,61;101,68;3493;2973;33,38;28,569;101,647;3577.0;30,9;Igneous;990.0;5.0;72.0;5,827887;Yes;Temperate;295,07;26,68
765;Ouimet et al., 2009, E Tibet;wbo642;28,93;101,54;4028;1950;65,75;28,936;101,472;4064.0;26,8;Metamorphic;952.0;2.0;73.0;5,827887;Yes;Temperate;354,38;30,92
766;Ouimet et al., 2009, E Tibet;wbo643;29,51;101,43;4327;1688;28,51;29,536;101,454;4354.0;28;Metamorphic;931.0;0.0;53.0;5,93414;Yes;Cold;200,5;17,61
767;Ouimet et al., 2009, E Tibet;wbo644;29,72;101,52;4218;1402;19,09;29,707;101,54;4234.0;23,8;Metamorphic;924.0;1.0;52.0;0,982952;No;Cold;50,99;4,41
768;Ouimet et al., 2009, E Tibet;wbo645;29,93;101,39;4149;977;47,94;29,986;101,371;4158.0;15;Metamorphic;872.0;1.0;33.0;0,982952;No;Cold;26,04;2,19
769;Ouimet et al., 2009, E Tibet;wbo647;29,68;102,2;2388;2361;14,03;29,694;102,243;2457.0;35,3;Igneous;960.0;9.0;55.0;1,659404;No;Cold;517,03;46,35
770;Ouimet et al., 2009, E Tibet;wbo651;31,29;102,05;3525;2195;31,74;31,326;102,102;3572.0;29,2;Igneous;801.0;4.0;74.0;1,13189;No;Temperate;110,57;9,29
771;Ouimet et al., 2009, E Tibet;wbo653;31,03;101,87;3780;3001;61,49;31,02;101,792;3848.0;31,2;Igneous;811.0;3.0;69.0;1,663084;No;Temperate;340,88;31,7
773;Palumbo et al., 2009, N Tibetan Plateau;Y1;39,203;99,611;2140;520;3,97;39,195;99,624;2141.0;14,2;Sedimentary;165.0;4.0;5.0;1,087897;No;Arid;85,35;14,17
774;Palumbo et al., 2009, N Tibetan Plateau;Y2*;39,21;99,614;1997;427;2,82;39,209;99,617;2000.0;10,2;Sedimentary;151.0;5.0;5.0;1,087897;No;Arid;128,25;20,93
775;Palumbo et al., 2009, N Tibetan Plateau;Y3;39,221;99,621;2356;984;13,13;39,12;99,656;2366.0;18,3;Sedimentary;185.0;3.0;5.0;1,087897;No;Arid;115,51;17,92
776;Palumbo et al., 2009, N Tibetan Plateau;Y4;39,198;99,743;2374;1218;12,99;39,188;99,733;2397.0;17,6;Sedimentary;188.0;2.0;5.0;1,087897;No;Arid;192,18;35,49
777;Palumbo et al., 2009, N Tibetan Plateau;Y5;39,193;99,757;2460;1254;14,11;39,175;99,759;2487.0;16,7;Sedimentary;195.0;2.0;5.0;1,087897;No;Arid;202,44;39,47
778;Palumbo et al., 2009, N Tibetan Plateau;Y6;39,157;99,863;2465;872;3,78;39,145;99,861;2481.0;23,2;Metamorphic;200.0;2.0;5.0;1,087897;No;Arid;220,24;44,33
779;Palumbo et al., 2009, N Tibetan Plateau;Y7;39,147;99,888;2385;934;3,15;39,138;99,878;2404.0;23;Metamorphic;195.0;2.0;5.0;1,087897;No;Arid;168,48;27,8
780;Palumbo et al., 2009, N Tibetan Plateau;Y8;39,119;99,877;2779;754;8,7;39,124;99,853;2787.0;22;Mixed;235.0;0.0;5.0;1,097276;No;Arid;268,06;48,98
781;Palumbo et al., 2009, N Tibetan Plateau;Y9;39,117;99,925;2588;1220;30,51;39,108;99,885;2612.0;21,9;Sedimentary;216.0;1.0;5.0;1,097276;No;Arid;543,5;271,6
782;Palumbo et al., 2009, N Tibetan Plateau;Y10*;39,046;100,021;2011;824;3,91;39,142;100,01;2027.0;16,6;Sedimentary;162.0;5.0;5.0;1,097276;No;Arid;326,23;112
783;Palumbo et al., 2009, N Tibetan Plateau;Y11;39,027;100,036;1852;307;3,37;39,021;100,031;1855.0;9,3;Sedimentary;153.0;5.0;4.0;1,097276;No;Arid;149,5;27,72
784;Palumbo et al., 2009, N Tibetan Plateau;Y12;39,018;100,057;1904;283;0,87;39,012;100,057;1907.0;17,7;Sedimentary;155.0;5.0;5.0;1,097276;No;Arid;346,71;82,58
785;Palumbo et al., 2009, N Tibetan Plateau;Y13;38,976;100,113;1703;209;1,11;38,979;100,111;1708.0;8,1;Sedimentary;138.0;6.0;5.0;1,097276;No;Arid;503,55;165,33
